xcenter,ycenter,dwell,Tpeak,power,Sample,x,y,Ta.nmol_offgrid,Ta.nmol_ongrid,Sn.nmol_offgrid,Sn.nmol_ongrid,Ta.nmol_relRatio,Sn.nmol_relRatio
-28,5,250,1325,59.780547327864,15855,21.835,52.155,10.8,10.7,66.9,67.3,0.995,1.01
-28,10,3976,988,33.020042738754,17705,21.835,57.235,10.6,10.6,61.7,62.1,1,1.01
-28,15,2924,1325,39.4524195252884,19552,21.835,62.315,10.4,10.6,55.1,55.5,1.01,1.01
-28,20,629,1400,49.6707490756187,21348,21.835,67.395,10.1,10.3,48.6,48.8,1.02,1.01
-28,25,1844,1138,38.5710089238408,23053,21.835,72.475,9.83,9.75,41.7,42,0.992,1.01
-28,30,1163,1325,43.5543540573487,24484,21.835,77.047,9.71,9.67,35.8,36.2,0.996,1.01
-26,-35,462,1212,47.7293546570692,2223,23.867,12.531,9.63,9.53,37.3,36.3,0.99,0.972
-26,-30,3410,1212,37.3861156321634,3530,23.867,17.103,9.69,9.74,41.7,42,1.01,1.01
-26,-25,1844,1250,40.2438941474986,5127,23.867,22.183,10.2,10.6,48.2,48,1.04,0.996
-26,-20,1844,725,29.3607144306294,6842,23.867,27.263,10.6,10.7,54.2,53.9,1,0.995
-26,-15,3410,1100,35.634855464898,8645,23.867,32.343,11.1,11.1,59.2,59.1,0.999,0.999
-26,-10,5407,1288,36.9320171261272,10494,23.867,37.423,11.3,11.4,62.9,63.4,1.01,1.01
-26,-5,396,912,42.416172784914,12344,23.867,42.503,11.6,11.6,64.9,64.8,0.999,0.998
-26,0,997,800,34.2215810469301,14009,23.867,47.075,11.7,11.8,64.2,63.8,1.01,0.993
-26,5,250,1100,50.8921412982715,15859,23.867,52.155,11.7,11.5,62.3,62.2,0.984,1
-26,10,3410,1138,36.262482608556,17709,23.867,57.235,11.5,11.4,57.8,57.5,0.986,0.996
-26,15,292,1400,60.9412045251523,19556,23.867,62.315,11.2,11.1,52,52.4,0.994,1.01
-26,20,539,800,37.546948582079,21352,23.867,67.395,10.8,10.8,46.1,46.1,0.997,1
-26,25,292,1288,55.2840486498934,23057,23.867,72.475,10.6,10.7,39.9,40,1.01,1
-26,30,539,912,40.3983695672887,24488,23.867,77.047,10.3,10.1,34.8,34.9,0.978,1
-26,35,3410,612,23.6911298129682,25931,23.867,82.127,9.98,10.1,30.2,30,1.01,0.992
-24,-35,10000,1288,35.1645476512487,2227,25.899,12.531,10.3,9.94,35.4,35.3,0.967,0.997
-24,-30,10000,912,28.5387990656954,3534,25.899,17.103,10.3,10.6,39.8,40.3,1.03,1.01
-24,-25,3410,1025,34.2812468831997,5131,25.899,22.183,11,10.9,45.6,45.2,0.998,0.991
-24,-20,2924,500,20.3810029541258,6846,25.899,27.263,11.5,11.5,50.7,50.6,1,0.999
-24,-15,1163,762,32.4191287539998,8649,25.899,32.343,11.8,11.7,55.2,55.5,0.992,1.01
-24,-10,250,688,39.3393032290972,10498,25.899,37.423,12.1,12.2,58.7,58,1.01,0.988
-24,-5,5407,1212,35.8831413415329,12348,25.899,42.503,12.5,12.4,60,59.5,0.999,0.991
-24,0,3976,1400,39.2978690554626,14013,25.899,47.075,12.6,12.4,59.3,59.2,0.984,0.998
-24,5,292,1362,58.777034431364,15863,25.899,52.155,12.5,12.4,57.3,57.3,0.996,0.999
-24,10,5407,875,29.5237872255662,17713,25.899,57.235,12.4,12.4,53.6,53.4,1,0.995
-24,15,10000,1138,32.9231917809054,19560,25.899,62.315,12.1,12.1,48.7,48.8,0.997,1
-24,20,462,1400,53.2181086539173,21356,25.899,67.395,11.7,11.6,43.6,44,0.988,1.01
-24,25,3410,1362,39.3671498300489,23061,25.899,72.475,11.3,11.3,38,38,1,1
-24,30,8575,988,30.5979469721294,24492,25.899,77.047,11,11,33.5,33,1.01,0.985
-24,35,292,1250,53.7947992766594,25935,25.899,82.127,10.6,10.5,29.1,28.7,0.993,0.986
-22,-35,3976,1362,38.8407885405318,2231,27.931,12.531,10.9,10.7,33.7,33.8,0.975,1
-22,-30,629,725,34.4126295784012,3538,27.931,17.103,11.1,11.4,37.8,38.4,1.02,1.02
-22,-25,396,1175,48.2158814269236,5135,27.931,22.183,11.7,11.9,42.8,42.4,1.01,0.992
-22,-20,2507,1212,38.4899586754734,6850,27.931,27.263,12.3,12.4,47.6,47.4,1.01,0.996
-22,-15,6306,500,18.4475848200681,8653,27.931,32.343,12.7,12.7,51.3,51,1,0.995
-22,-10,10000,575,19.7251327319336,10502,27.931,37.423,13,13.2,54.2,54.2,1.02,1
-22,-5,292,725,39.4037114001231,12352,27.931,42.503,13.4,13.4,55.5,55.4,1,0.998
-22,0,997,912,37.0291036619974,14017,27.931,47.075,13.5,13.3,54.6,54.7,0.99,1
-22,5,8575,1212,34.5191115605607,15867,27.931,52.155,13.2,13.3,52.9,53.2,1.01,1.01
-22,10,3410,875,31.0630440607214,17717,27.931,57.235,13.2,13.2,49.9,50.4,0.999,1.01
-22,15,539,1062,43.5372953921733,19564,27.931,62.315,13,13,45.5,45.8,1,1.01
-22,20,6306,800,27.2037415306188,21360,27.931,67.395,12.6,12.6,41.1,40.9,1,0.995
-22,25,3976,1138,35.7392984527477,23065,27.931,72.475,12.1,12.3,36.2,35.9,1.02,0.99
-22,30,250,725,40.6277410081407,24496,27.931,77.047,11.7,11.6,32.2,31.6,0.994,0.981
-22,35,396,838,40.5630154736451,25939,27.931,82.127,11.3,11.4,28.1,28.5,1.02,1.01
-20,-35,1163,612,27.5867251482755,2235,29.963,12.531,11.5,11.6,32.4,31.9,1,0.985
-20,-30,855,1250,44.0735493369507,3542,29.963,17.103,12.1,11.9,36.3,36.2,0.987,0.998
-20,-25,733,1100,42.3721117874145,5139,29.963,22.183,12.7,12.5,40.4,40.5,0.987,1
-20,-20,629,1138,43.9792578684555,6854,29.963,27.263,13.2,13.2,44.2,44.2,0.998,1
-20,-15,2150,1362,41.1369069103619,8657,29.963,32.343,13.8,13.6,47.6,47.9,0.986,1.01
-20,-10,4637,988,32.5040437113966,10506,29.963,37.423,14.1,14.2,49.9,49.9,1.01,1
-20,-5,2507,950,33.8889086608521,12356,29.963,42.503,14.4,14.4,51.4,51.5,0.997,1
-20,0,1163,1100,39.9734742841408,14021,29.963,47.075,14.5,14.4,50.7,50.6,0.992,0.998
-20,5,539,1325,49.1144904286869,15871,29.963,52.155,14.4,14.4,49,49,1.01,0.999
-20,10,733,1062,41.6823518857054,17721,29.963,57.235,14.1,14,46.5,46.2,0.991,0.993
-20,15,1356,538,24.2683961123025,19568,29.963,62.315,13.9,13.9,42.9,42.6,0.997,0.993
-20,20,1581,612,26.3414374373612,21364,29.963,67.395,13.4,13.5,38.8,39.1,1,1.01
-20,25,340,500,29.3061644721907,23069,29.963,72.475,13.1,13,34.6,34.4,0.987,0.996
-20,30,3976,650,24.4060314967302,24500,29.963,77.047,12.6,12.5,31,30.9,0.994,0.998
-20,35,396,950,43.2925327537651,25943,29.963,82.127,12.1,12,26.9,27.2,0.99,1.01
-18,-40,997,538,25.4890998535629,979,31.995,7.451,11.8,11.8,27.9,27.8,0.993,0.997
-18,-35,10000,500,17.4687392441406,2239,31.995,12.531,12.3,12.4,31.3,31.6,1.01,1.01
-18,-30,3976,725,26.6157008566555,3546,31.995,17.103,13,12.9,34.6,34.3,0.997,0.991
-18,-25,855,950,38.6433778866026,5143,31.995,22.183,13.6,13.2,37.8,38,0.975,1.01
-18,-20,340,650,35.6482113754167,6858,31.995,27.263,14.2,14,41.4,41.4,0.988,0.999
-18,-15,3410,688,26.038725936602,8661,31.995,32.343,14.8,14.6,44.4,45,0.988,1.01
-18,-10,2507,612,24.6808562857349,10510,31.995,37.423,15.2,15.1,46.4,46.5,0.994,1
-18,-5,292,1062,48.3009342479201,12360,31.995,42.503,15.4,15.6,47.3,47.1,1.01,0.996
-18,0,6306,612,21.9460676324693,14025,31.995,47.075,15.6,15.3,47.1,47.2,0.983,1
-18,5,1356,912,35.5855843406786,15875,31.995,52.155,15.6,15.3,45.2,45.2,0.984,1
-18,10,462,538,29.2126716124424,17725,31.995,57.235,15.1,15.3,43.2,43,1.01,0.996
-18,15,250,1138,52.0207147166567,19572,31.995,62.315,14.9,15,40.1,40.1,1,1
-18,20,629,1250,46.1081434334961,21368,31.995,67.395,14.4,14.4,36.5,36.5,0.996,1
-18,25,340,1362,56.1198171146878,23073,31.995,72.475,14.1,13.8,32.9,32.7,0.98,0.992
-18,30,733,575,28.3147863083999,24504,31.995,77.047,13.4,13.6,29.7,29.1,1.01,0.98
-18,35,1356,1100,39.2650562717749,25947,31.995,82.127,13,12.8,26,26.3,0.982,1.01
-18,40,2507,538,22.1690397748048,27183,31.995,87.207,12.6,12.5,23.6,23.8,0.994,1.01
-16,-40,539,988,42.0582508816552,983,34.027,7.451,12.6,12.6,26.9,26.8,1,0.997
-16,-35,6306,1362,37.3960968782509,2243,34.027,12.531,13.1,13.1,29.8,29.2,0.998,0.979
-16,-30,1163,1400,44.835783437816,3550,34.027,17.103,13.9,13.8,32.5,32.2,0.993,0.992
-16,-25,3976,1062,34.4399636471563,5147,34.027,22.183,14.5,14.3,35.8,35.8,0.987,0.999
-16,-20,340,950,44.418964579231,6862,34.027,27.263,15.2,14.9,38.9,38.9,0.982,0.998
-16,-15,629,538,27.5865604799309,8665,34.027,32.343,15.7,15.8,41.5,41.2,1,0.992
-16,-10,340,1025,46.113813899081,10514,34.027,37.423,16.4,16.3,43,42.9,0.997,0.999
-16,-5,340,838,41.6444363619097,12364,34.027,42.503,16.5,16.3,43.7,43.6,0.985,0.998
-16,0,1163,538,24.8617470638739,14029,34.027,47.075,16.8,16.4,43.5,43.7,0.981,1
-16,5,6306,1400,37.8422002287344,15879,34.027,52.155,16.7,16.6,42.2,41.8,0.991,0.992
-16,10,1163,950,37.1267140052339,17729,34.027,57.235,16.3,16.2,40.2,41,0.997,1.02
-16,15,1844,1212,39.6974030850586,19576,34.027,62.315,16.1,16.2,37.6,37.8,1.01,1.01
-16,20,733,912,38.6219036376384,21372,34.027,67.395,15.6,15.7,34.5,34.7,1.01,1.01
-16,25,396,650,34.6289662450106,23077,34.027,72.475,14.9,14.9,31.2,30.9,0.998,0.99
-16,30,3976,875,30.5320953516225,24508,34.027,77.047,14.4,14.3,28.6,28.4,0.996,0.994
-16,35,10000,650,21.8928613659648,25951,34.027,82.127,13.7,13.9,25.3,25.3,1.01,0.998
-16,40,6306,1025,32.2548580258982,27187,34.027,87.207,13.5,13.2,22.7,22.8,0.976,1
-14,-40,292,500,30.2729730872845,987,36.059,7.451,13.4,13.6,25.9,25.8,1.01,0.996
-14,-35,855,800,34.9886137950822,2247,36.059,12.531,14.1,14.1,28.2,28.2,1,0.999
-14,-30,1356,838,33.7966159049344,3554,36.059,17.103,14.8,14.8,31,31,0.998,1
-14,-25,1356,500,22.8187423550736,5151,36.059,22.183,15.7,15.6,34.1,33.3,0.996,0.977
-14,-20,3410,950,32.7610623118343,6866,36.059,27.263,16.4,16.4,36.2,36.6,0.998,1.01
-14,-15,3410,1288,38.4282705306196,8669,36.059,32.343,16.8,17.1,38.7,38.4,1.02,0.994
-14,-10,462,1250,48.6352603521769,10518,36.059,37.423,17.7,17.4,40,39.9,0.987,0.998
-14,-5,997,1288,43.8147098823804,12368,36.059,42.503,17.7,17.8,40.7,40.4,1,0.991
-14,0,733,875,37.7485535895325,14033,36.059,47.075,18.1,18,40.3,40.6,0.991,1.01
-14,5,1356,1250,41.6134743883734,15883,36.059,52.155,17.9,17.8,39.6,39.4,0.993,0.996
-14,10,1356,1400,43.9279270257394,17733,36.059,57.235,17.6,17.7,37.6,37.7,1,1
-14,15,2507,725,28.1946525906137,19580,36.059,62.315,17.3,17.1,35.4,35.2,0.985,0.996
-14,20,539,1288,48.1803635059212,21376,36.059,67.395,16.7,16.9,32.7,32.4,1.01,0.992
-14,25,2924,1400,40.3996381091457,23081,36.059,72.475,16,16,29.8,29.9,0.999,1
